證券代碼,簡稱,年月日,收盤價(元)_週
1605,華新         ,20180105,17.8
1608,華榮         ,20180105,11.85
1609,大亞         ,20180105,13.55
1611,中電         ,20180105,9.88
1612,宏泰         ,20180105,11.8
1614,三洋電       ,20180105,23.7
1615,大山         ,20180105,15.55
1616,億泰         ,20180105,6.04
1617,榮星         ,20180105,15.4
1618,合機         ,20180105,9.35
1626,艾美特-KY    ,20180105,25.55
1701,中化         ,20180105,18.8
1702,南僑投控     ,20180105,63.4
1704,榮化         ,20180105,47.45
1707,葡萄王       ,20180105,218.5
1708,東鹼         ,20180105,30.8
1709,和益         ,20180105,18.15
1710,東聯         ,20180105,31.95
1711,永光         ,20180105,19.65
1712,興農         ,20180105,16.9
1713,國化         ,20180105,16.8
1714,和桐         ,20180105,10.45
1717,長興         ,20180105,31.1
1718,中纖         ,20180105,10.5
1720,生達         ,20180105,36
1721,三晃         ,20180105,14.1
1722,台肥         ,20180105,39.35
1723,中碳         ,20180105,128
1724,台硝         ,20180105,14.55
1725,元禎         ,20180105,15.25
1726,永記         ,20180105,81.2
1727,中華化       ,20180105,16.15
1730,花仙子       ,20180105,40.85
1731,美吾華       ,20180105,14.1
1732,毛寶         ,20180105,12.55
1733,五鼎         ,20180105,31.9
1734,杏輝         ,20180105,21.7
1735,日勝化       ,20180105,16.85
1736,喬山         ,20180105,34.65
1737,臺鹽         ,20180105,28
1762,中化生       ,20180105,24.6
1773,勝一         ,20180105,77.6
1789,神隆         ,20180105,35.7
1802,台玻         ,20180105,22.15
1805,寶徠         ,20180105,13.05
1806,冠軍         ,20180105,8.84
1808,潤隆         ,20180105,43.95
1809,中釉         ,20180105,13.1
1810,和成         ,20180105,9.77
1902,台紙         ,20180105,18.9
1903,士紙         ,20180105,32.55
1904,正隆         ,20180105,16.6
1905,華紙         ,20180105,11.4
1906,寶隆         ,20180105,29.55
1907,永豐餘       ,20180105,13.55
1909,榮成         ,20180105,41.5
2002,中鋼         ,20180105,24.95
2006,東和鋼鐵     ,20180105,26.25
2007,燁興         ,20180105,5.5
2008,高興昌       ,20180105,12.05
2009,第一銅       ,20180105,13.95
2010,春源         ,20180105,11.7
2012,春雨         ,20180105,15
2013,中鋼構       ,20180105,19.75
2014,中鴻         ,20180105,12.85
2015,豐興         ,20180105,56.8
2017,官田鋼       ,20180105,10.15
2020,美亞         ,20180105,14.1
2022,聚亨         ,20180105,7.16
2023,燁輝         ,20180105,12.2
2024,志聯         ,20180105,11
2025,千興         ,20180105,2.74
2027,大成鋼       ,20180105,23.5
2028,威致         ,20180105,9.97
2029,盛餘         ,20180105,29.1
2030,彰源         ,20180105,16.3
2031,新光鋼       ,20180105,29.05
2032,新鋼         ,20180105,10.35
2033,佳大         ,20180105,9.38
2034,允強         ,20180105,27.15
2038,海光         ,20180105,9.04
2049,上銀         ,20180105,335.5
2059,川湖         ,20180105,394
2062,橋椿         ,20180105,37.3
2101,南港         ,20180105,26.9
2102,泰豐         ,20180105,13.5
2103,台橡         ,20180105,37.15
2104,中橡         ,20180105,47.8
2105,正新         ,20180105,51.5
2106,建大         ,20180105,37.9
2107,厚生         ,20180105,16.3
2108,南帝         ,20180105,23.45
2109,華豐         ,20180105,12.9
2114,鑫永銓       ,20180105,87.8
2201,裕隆         ,20180105,23.5
2204,中華         ,20180105,26.45
2206,三陽工業     ,20180105,21.35
