證期會代碼,公司中文全稱,年月,收盤價(元)_月
2332,友訊科技                      ,201712,10.6
2337,旺宏電子                      ,201712,44.2
2338,台灣光罩                      ,201712,18
2340,光磊科技                      ,201712,21.4
2342,台灣茂矽電子                  ,201712,17.95
2344,華邦電子                      ,201712,23.45
2345,智邦科技                      ,201712,106
2347,聯強國際                      ,201712,40.55
2348,海悅國際開發                  ,201712,26.7
2349,錸德科技                      ,201712,4.66
2351,順德工業                      ,201712,85.9
2352,佳世達科技                    ,201712,21.15
2353,宏碁                          ,201712,24.15
2354,鴻準精密工業                  ,201712,85.2
2355,敬鵬工業                      ,201712,58.1
2356,英業達                        ,201712,23.75
2357,華碩電腦                      ,201712,279.5
2358,廷鑫興業                      ,201712,23.6
2359,所羅門                        ,201712,23.15
2360,致茂電子                      ,201712,162
2362,藍天電腦                      ,201712,29
2363,矽統科技                      ,201712,8.95
2364,倫飛電腦實業                  ,201712,2.4
2365,昆盈企業                      ,201712,10.3
2367,燿華電子                      ,201712,23.2
2368,金像電子                      ,201712,10.6
2369,菱生精密工業                  ,201712,15.05
2371,大同                          ,201712,19.2
2373,震旦行                        ,201712,86.3
2374,佳能企業                      ,201712,19.9
2375,智寶電子                      ,201712,43.8
2376,技嘉科技                      ,201712,54
2377,微星科技                      ,201712,76.6
2379,瑞昱半導體                    ,201712,109
2380,虹光精密工業                  ,201712,6.87
2382,廣達電腦                      ,201712,61.9
2383,台光電子材料                  ,201712,101.5
2385,群光電子                      ,201712,75
2387,精元電腦                      ,201712,17.3
2388,威盛電子                      ,201712,10.6
2390,云辰電子開發                  ,201712,11.8
2392,正崴精密工業                  ,201712,50
2393,億光電子工業                  ,201712,44.95
2395,研華                          ,201712,210.5
2397,友通資訊                      ,201712,60.5
2399,映泰                          ,201712,13.15
2401,凌陽科技                      ,201712,16.4
2402,毅嘉科技                      ,201712,16.55
2404,漢唐集成                      ,201712,58.7
2405,浩鑫                          ,201712,20.3
2406,國碩科技工業                  ,201712,16.3
2408,南亞科技                      ,201712,76.2
2409,友達光電                      ,201712,12.4
2412,中華電信                      ,201712,106
2413,環隆科技                      ,201712,21.7
2414,精技電腦                      ,201712,19.6
2415,錩新科技                      ,201712,26.35
2417,圓剛科技                      ,201712,13.6
2419,仲琦科技                      ,201712,21.5
2420,新巨企業                      ,201712,35.85
2421,建準電機工業                  ,201712,52.4
2423,固緯電子實業                  ,201712,22.75
2424,隴華電子                      ,201712,38.5
2425,承啟科技                      ,201712,15.6
2426,鼎元光電科技                  ,201712,15.75
2427,三商電腦                      ,201712,10.05
2428,興勤電子工業                  ,201712,84.2
2429,銘旺科技                      ,201712,10.8
2430,燦坤實業                      ,201712,24.05
2431,聯昌電子企業                  ,201712,15.55
2433,互盛                          ,201712,43.4
2434,統懋半導體                    ,201712,9.29
2436,偉詮電子                      ,201712,29.7
2438,翔耀實業                      ,201712,6.81
2439,美律實業                      ,201712,194.5
2440,太空梭高傳真資訊科技          ,201712,10.3
2441,超豐電子                      ,201712,52.1
2442,新美齊                        ,201712,8.03
2443,新利虹科技                    ,201712,6.2
2444,友旺科技                      ,201712,41.85
2448,晶元光電                      ,201712,45.15
2449,京元電子                      ,201712,30.25
2450,神腦國際企業                  ,201712,50.3
2451,創見資訊                      ,201712,82.7
2453,凌群電腦                      ,201712,15.35
2454,聯發科技                      ,201712,294
2455,全新光電科技                  ,201712,93.1
2456,奇力新電子                    ,201712,98.5
2457,飛宏科技                      ,201712,14.1
2458,義隆電子                      ,201712,46.1
2459,敦吉科技                      ,201712,42.95
2460,建通精密工業                  ,201712,15.6
2461,光群雷射科技                  ,201712,16.4
2462,台灣良得電子                  ,201712,31.1
2464,盟立自動化                    ,201712,48.1
2465,麗臺科技                      ,201712,19.2
2466,冠西電子企業                  ,201712,35.15
2467,志聖工業                      ,201712,27.55
2468,華經資訊企業                  ,201712,11.25
2471,資通電腦                      ,201712,14.65
2472,立隆電子工業                  ,201712,61.5
2474,可成科技                      ,201712,328
2475,中華映管                      ,201712,2.31
2476,鉅祥企業                      ,201712,27
2477,美隆工業                      ,201712,26.4
2478,大毅科技                      ,201712,37.5
2480,敦陽科技                      ,201712,35.7
2481,強茂                          ,201712,30
2482,連宇                          ,201712,12.5
2483,百容電子                      ,201712,24.5
2484,希華晶體科技                  ,201712,21.15
2485,兆赫電子                      ,201712,31.6
2486,一詮精密工業                  ,201712,10.85
2488,漢平電子工業                  ,201712,29.85
2489,瑞軒科技                      ,201712,16.35
2491,吉祥全球實業                  ,201712,7.02
2492,華新科技                      ,201712,105
2493,揚博科技                      ,201712,26.45
2495,普安科技                      ,201712,14.4
2496,卓越成功                      ,201712,169
2497,怡利電子工業                  ,201712,30
2498,宏達國際電子                  ,201712,73.1
2499,東貝光電科技                  ,201712,11.5
2501,國泰建設                      ,201712,16.45
2504,國產建材實業                  ,201712,9.77
2505,國揚實業                      ,201712,17.75
2506,太平洋建設                    ,201712,10.7
2509,全坤建設開發                  ,201712,21.65
2511,太子建設開發                  ,201712,12.05
2514,龍邦國際興業                  ,201712,15.35
2515,中華工程                      ,201712,8.2
2516,新亞建設開發                  ,201712,7.24
2520,冠德建設                      ,201712,20.4
2524,京城建設                      ,201712,22.3
2527,宏璟建設                      ,201712,24.7
2528,皇普建設                      ,201712,19.6
2530,大華建設                      ,201712,15.2
2534,宏盛建設                      ,201712,25.6
2535,達欣工程                      ,201712,18
2536,宏普建設                      ,201712,21.45
2537,聯上開發                      ,201712,8.24
2538,基泰建設                      ,201712,10.3
2539,櫻花建設                      ,201712,28.1
2540,愛山林建設開發                ,201712,21
2542,興富發建設                    ,201712,42.3
2543,皇昌營造                      ,201712,8.25
2545,皇翔建設                      ,201712,30.2
2546,根基營造                      ,201712,20.9
2547,日勝生活科技                  ,201712,12.7
2548,華固建設                      ,201712,69.4
2597,潤弘精密工程事業              ,201712,38
2601,益航                          ,201712,9
2603,長榮海運                      ,201712,16.35
2605,新興航運                      ,201712,21.15
2606,裕民航運                      ,201712,36.5
2607,長榮國際儲運                  ,201712,14.15
2608,嘉里大榮物流                  ,201712,38.25
2609,陽明海運                      ,201712,11.5
2610,中華航空                      ,201712,11.65
2611,志信國際                      ,201712,7.06
2612,中國航運                      ,201712,28.7
2613,中國貨櫃運輸                  ,201712,13.1
2614,東森國際                      ,201712,10.85
2615,萬海航運                      ,201712,19.25
2616,山隆通運                      ,201712,32.2
2617,台灣航業                      ,201712,16.6
2618,長榮航空                      ,201712,15.85
2637,慧洋海運                      ,201712,28.9
2701,萬華企業                      ,201712,13.35
2702,華園飯店                      ,201712,14.3
2704,國賓大飯店                    ,201712,23.25
2705,六福開發                      ,201712,7.95
2706,第一華僑大飯店                ,201712,15.55
2707,晶華國際酒店                  ,201712,154
2722,夏都國際開發                  ,201712,36.6
2723,開曼美食達人                  ,201712,435
2727,王品餐飲                      ,201712,134
2801,彰化商業銀行                  ,201712,16.55
2809,京城商業銀行                  ,201712,37.25
